doc_id	topic_0	topic_1
985	0.031130	0.968870
986	0.063488	0.936512
987	0.439009	0.560991
988	0.034923	0.965077
989	0.646205	0.353795
990	0.023742	0.976258
991	0.935723	0.064277
992	0.025104	0.974896
993	0.029244	0.970756
994	0.286104	0.713896
995	0.376025	0.623975
996	0.275334	0.724666
997	0.035597	0.964403
998	0.526063	0.473937
999	0.392118	0.607882
1000	0.029280	0.970720
1001	0.045590	0.954410
1002	0.027109	0.972891
1003	0.139648	0.860352
1004	0.297591	0.702409
1005	0.039216	0.960784
1006	0.219867	0.780133
1007	0.309063	0.690937
1008	0.260707	0.739293
1009	0.056247	0.943753
1010	0.114029	0.885971
1011	0.121198	0.878802
1012	0.070145	0.929855
1013	0.085024	0.914976
1014	0.035736	0.964264
1015	0.517792	0.482208
1016	0.273114	0.726886
1017	0.198551	0.801449
1018	0.148230	0.851770
1019	0.062326	0.937674
1020	0.195662	0.804338
1021	0.176850	0.823150
1022	0.152387	0.847613
1023	0.075874	0.924126
1024	0.386014	0.613986
1025	0.025500	0.974500
1026	0.121420	0.878580
1027	0.051749	0.948251
1028	0.107977	0.892023
1029	0.038609	0.961391
1030	0.047265	0.952735
1031	0.137407	0.862593
1032	0.450668	0.549332
1033	0.032606	0.967394
1034	0.060968	0.939032
1035	0.250866	0.749134
1036	0.172402	0.827598
1037	0.027171	0.972829
1038	0.068816	0.931184
1039	0.219740	0.780260
1040	0.682574	0.317426
1041	0.034171	0.965829
1042	0.161503	0.838497
1043	0.276290	0.723710
1044	0.028795	0.971205
1045	0.045269	0.954731
1046	0.669111	0.330889
1047	0.148242	0.851758
1048	0.273958	0.726042
1049	0.155930	0.844070
1050	0.029134	0.970866
1051	0.061828	0.938172
1052	0.039793	0.960207
1053	0.236675	0.763325
1054	0.041342	0.958658
1055	0.300639	0.699361
1056	0.028088	0.971912
1057	0.380453	0.619547
1058	0.339494	0.660506
1059	0.059089	0.940911
1060	0.028939	0.971061
1061	0.479047	0.520953
1062	0.136248	0.863752
1063	0.032823	0.967177
1064	0.026893	0.973107
1065	0.032787	0.967213
1066	0.797651	0.202349
1067	0.900998	0.099002
1068	0.134369	0.865631
1069	0.427663	0.572337
1070	0.784103	0.215897
1071	0.101169	0.898831
1072	0.082027	0.917973
1073	0.045291	0.954709
1074	0.697589	0.302411
1075	0.041483	0.958517
